Trope,Description,Inverted?/Defied?,Averted/Subverted?,Rough Occurence in movie,book_movie_weirdness,Background?,sig_scene,Setups?,Start Time,End Time,Total Time
Chase Stops at Water," The first Nazgul the Hobbits meet pursues them to the Bucklebury Ferry, but quickly reins in his horse when Frodo jumps onto the barge. This is a hint at their supernatural nature; as undead, they hate crossing rivers . ",,,,,,FLEE NAZGUL,,3422,3423,
Creator Cameo,"Peter Jackson in a blink-and-you'll-miss-it appearance as ""Albert Dreary"" (a man eating a carrot) when the hobbits arrive in Bree. ",,,,,,PP,,3509,3510,
Stealth Pun," At the Prancing Pony, Merry comes back to the Hobbits' table looking pleased with himself, carrying a mug of ale that dwarfs (*ahem*) the others'. ""This, my friend,"" he tells Pippin, ""is a pint ."" ""They come in pints ?"" asks a bewildered Pippin, before adding, ""I'm getting one."" What were the Hobbits drinking up to that point? Half-pints . ",,,,,,PP,,3611,3617,
Finger Extinguisher, Aragorn puts out a flame with his bare hand at the Prancing Pony when taking Frodo away for a private discussion.,,,,,,PP,,3776,3777,
Admitting to Fear," When Frodo is confronted by Stryder at The Prancing Pony, Stryder asks him if he's frightened. Frodo gives a sincere, ""Yes."" Stryder/Aragorn: Not nearly frightened enough. I know what hunts you.",,,,,,PP,,3785,3787,
Tae Kwon Door," When the Nazgul burst into Bree, the terrified door guard looks through the door, and gets it slammed off its hinges, on top of him.",,,,,,PP,,3812,3814,
Ghostly Glide, The Nazgul move like ghosts when they invade the Prancing Pony.,,,,,,PP,,3824,3832,
Cut Apart," The movie has closeups of sleeping hobbits mixed with Ringwraiths surrounding the beds. When the stabbing begins, we discover the beds are empty and the hobbits in another room.",,,,,,PP,,3853,3867,
Stern Chase," The Nazgul. ""They will never stop hunting you.""",,,,,,PP,,3928,3930,
Come with Me If You Want to Live," Aragorn gets introduced this way in Bree, as a wilderness expert who can outrun the Nazgul. In the film, Aragorn fits the trope to a T: Frodo: Where are you taking us? Aragorn: Into the wild . Merry: How do we know this Strider is a friend of Gandalf? Frodo: We have no choice but to trust him.",,,,,,PP,,3941,3965,
Rookie Red Ranger," The Hobbits as a whole serve at this, especially during their initial flight to Rivendell. They are clearly scared but also don't come even close to grasping how serious a situation they are in, with Aragorn even scoffing at Frodo that he is not nearly scared enough for how serious the situation is - although Frodo does learn much faster then the others. Exemplified by Frodo waking up because the other Hobbits seem to think they are just on a fun camping trip and lit a campfire to cook a nice hot meal on a peak that can be seen for dozens of miles while they are being hunted. And being very annoyed at Frodo frantically putting the fire out and calling them fools ... until two seconds later when the Nazgul make it clear Frodo had every right be to somewhat alarmed at their decision making...",,,,,Set as starting when Merry brings back a jovial half-pint to them being surrounded by Nazgul.,PP,,3611,4355,
Prophecy Twist," Played with in the extended version. When Aragorn tells Frodo about the Story of Luthien, who gave up her immortality to live a mortal life with the man she loved, Frodo asks him how it turned out. To which Aragorn simply replies ""She died.""",,,,,,PP,,4100,4116,
Wait Here," At Weathertop, Aragorn says he's going to have a look around and for the hobbits to ""stay here."" Naturally it doesn't work out exactly as planned.",,,,,,WEATHERTOP,,4265,4269,
Comically Missing the Point," While on Weathertop, being chased by the Nazgul, Frodo goes to sleep, only to wake up to the other hobbits cooking food. Frodo: What are you doing?! [meaning, Why are you lighting a fire when we have demonic ghosts chasing us?!] Merry: Tomatoes, sausages, and nice, crispy bacon.",,,,,,WEATHERTOP,,4280,4284,
Agony of the Feet," Averted when the other hobbits make a fire on Weathertop (inadvertently drawing the Nazgul to them) and Frodo panics when he sees it and tries to put it out with his foot . Hobbits are stated to have tough soles in the book --- basically their feet are their shoes, and they have a lot more fur on them than depicted in the film (the Rankin/Bass Productions animated adaptations do a much better job of what their feet are supposed to look like).",,yes,,,,WEATHERTOP,,4285,4286,
Deathly Dies Irae,Heard again as the Ringwraiths corner the hobbits at Weathertop. ,,,,,Unsure when it ends,WEATHERTOP,,4312,4355,
Homage Shot," A circle-round shot of the four hobbits at Weathertop is also lifted from the original, although the camera moves much faster and Aragorn is absent. ",,,,,,WEATHERTOP,,4309,4313,
Go Through Me," During the scene on Weathertop, the Ringwraiths casually fling aside the other hobbits trying to protect Frodo.",,,,,,WEATHERTOP,,4355,4359,
"Oh, Crap!","During the Skirmish at Weathertop, Frodo hears Sauron's voice emanating from the Ring and is tempted to pull it out of his pocket. He immediately panics as he realizes he just confirmed to Sauron's forces that he has the Ring on him. note Remember, at that point the Nazgul had no idea which of the four halflings they were pursuing out of Bree bore the name ""Baggins"" and whether they had taken the Ring with them or hidden it somewhere. ",,,,,,WEATHERTOP,,4371,4376,
Achey Scars, Frodo Baggins receives a painful scar that nearly kills him . The Nazgul confront him and his friends on Weathertop and attack them; it is in the ensuing battle that Frodo receives a wound from his enemy that will never fully heal .,,,,,,WEATHERTOP,,4419,4422,
Beauty Is Never Tarnished, Frodo is badly stabbed on Weathertop.,,,,,"Unclear when beauty isn't tarnished, so the trope is set at the stabbing.",WEATHERTOP,,4419,4422,
Sword Fight,Aragorn fighting the Ringwraiths off with a sword in one hand and a torch in the other.,,,,,,WEATHERTOP,,4426,4471,
Made of Incendium," The Ringwraiths will burst into flames if they come in contact with a fire source. Aragorn uses this to an incredibly effective degree when he lights up half of them and hurls the torch so hard that it embeds into one's face. Doesn't really seem to deter them for long, though.",,,,,,WEATHERTOP,,4451,4474,
Kill It with Fire," Strider uses this method to drive off the Nazgul at Weathertop, with a Throwing Your Torch Always Works finisher.",,,,,,WEATHERTOP,,4473,4474,
Butterfly of Transformation, The white moth that brings giant eagles to the rescue when Gandalf is imprisoned at Orthanc.,,,,,,SARUMAN-EVIL-PRODUCTION,,4543,4577,
Steel Mill," Saruman runs one at the basement of Isengard. The scene was filmed in a real foundry, using real steelworkers using Orc costumes.",,,,,,SARUMAN-EVIL-PRODUCTION,,4587,4614,
Forging Scene, There's the mass-production of the Uruk-hai's ugly but effective weapons and armor emphasizes the Industrialized Evil of Isengard. ,,,,,,SARUMAN-EVIL-PRODUCTION,,4587,4614,
Industrialized Evil,Mass-production of the Uruk-hai's ugly but effective weapons and armor emphasizes the Industrialized Evil of Isengard.,,,,,,SARUMAN-EVIL-PRODUCTION,,4587,4614,
Establishing Character Moment,Lurtz chokes the first orc he sees within seconds of his birth. ,,,,,,SARUMAN-EVIL-PRODUCTION,,4634,4643,
Romantic Ribbing," Downplayed example. In a Film-only scene, Aragorn finds a blade to his throat while looking for althelas, aka, kingsfoil. Then he hears a familiar feminine voice playfully ask: Arwen: What's this; a Ranger caught off his guard?",,,,,,WEATHERTOP,,4715,4722,
Friends All Along," Aragorn is hurrying to find a herb to heal Frodo when someone sneaks up behind him and holds a blade to his throat. Said person turns out to be Arwen, teasing him.",,,,,,WEATHERTOP,,4715,4722,
Fade to White, Used when Frodo first sees Arwen.,,,,,,WATER HORSES,,4725,4760,
Light Is Good, Arwen appears to Frodo in a flowing white gown with light radiating out from her. This is just a vision to Frodo but it symbolizes that she is good and is there to help him. Though she does warn him that she could end up evil and remain like she is .,,,,,,WATER HORSES,,4725,4760,
Chase Stops at Water," Frodo (carried on a horse by Arwen) is again violently chased by Nazguls, but because Arwen is able to reach the Bruinen River, the Nazguls cannot pursue them further; Arwen then also magically summons the Bruinen River to literally wash the Nazguls away.",,,,,,WATER HORSES,,4938,4939,
Bring It," Witch-King: Give up the Halfling, she-elf. Arwen: [draws sword] If you want him... come and claim him!",,,,,,WATER HORSES,,4946,4953,
"Oh, Crap!","When Arwen summons a tidal wave to beat the Nazgul. Granted, they don't have faces, but their behaviour is enough to convey it.",,,,,,WATER HORSES,,4977,4991,
Giant Wall of Watery Doom," When Arwen conjures up the Bruinen river against the Black Riders (invoking a Mass ""Oh, Crap!"" out of them, but they can't outrun it). For added awesomeness, the waves are horse-shaped.",,,,,,WATER HORSES,,4973,4999,
Murder Water," The flash flood that Arwen summons to wash away the Nazgul pursuing Frodo and the Ring is represented by a herd of watery horses charing down the river and sweeping the Nazgul away, in a rare heroic version of this trope.",,,,,,WATER HORSES,,4973,4999,
1-Dimensional Thinking," The Nazgul at the Fords of Bruinen. Instead of just riding back into the forest, they ride downstream where the wave is certain to catch them... because the water has distorted all sense of direction for them (hence why they were reluctant to cross in the first place).",,,,,,WATER HORSES,,4957,4965,
Fade to White, Frodo sees Elrond when he's dying from the Morgul blade.,,,,,,RIVENDELL,,5042,5045,
Title Drop,"There is only one ""Lord of the Ring"", only one who can bend it to his will. And he does not share power! ",,,,,,SARUMAN BETRAYAL,,5130,5132,
Meaningful Background Event, You see the giant eagle behind Saruman right before Gandalf jumps from the tower of Orthanc.,,,,,,SARUMAN BETRAYAL,,5136,5137,
"Suicidal ""Gotcha!"""," Gandalf jumps off the top of Isengard and landing on Gwaihir, Lord of the Eagles, who he had previously requested aid from via a passing moth.",,,,,,SARUMAN BETRAYAL,,5145,5147,
Catch a Falling Star," Gandalf's escape from Isengard via Gwaihir Air Service. Also counts as a Suicidal ""Gotcha!"" .",,,,,,SARUMAN BETRAYAL,,5147,5148,
Your Princess Is in Another Castle!," Frodo and Sam initially think their journey is over after they get the Ring to Rivendell for safekeeping at around halfway through the movie. Unfortunately, Elrond realizes that they cannot keep it there, and Frodo accepts the task of destroying it. Another moment occurs after the council of Elrond, when the Fellowship is formed. The nine stand in a pretty line, Elrond pronounces ""you shall be the Fellowship... of the Ring!"", the theme swells and half the audience start to retrieve coats, finish off drinks and generally make ready to leave. Then find out there's another hour and a half to go. And, in some cases, hadn't realised that even then there were two more films before ring meets lava. Also, Sam thinks his journey is over when the fellowship reaches Redhorn Mountain, which he confuses with Mount Doom. Not that it isn't a mountain of doom by itself.",,,,,Fuzzy and very long form. From Frodo saying the ring will be safe in Rivendell to when Frodo accepts the task of taking the ring to Mordor.,RIVENDELL,,5371,6210,
"Oh, Crap!",Elrond has an Oh Crap reaction to the fact that Saruman is breeding an Orc army of his own. An army that can move in sunlight. ,,,,,,RIVENDELL,,5424,5436,
Unsafe Haven," Invoked as a shortcut to explain why the One Ring cannot just stay in Rivendell. Throughout the first part of the film the hobbits --- and us --- are led to believe that ""the Ring will be safe in Rivendell"" --- until Elrond tells Gandalf otherwise. This is only in the film as a drama-preserving handicap for the sake of maintaining tension. In the books, and for the attentive viewer , Rivendell is obviously not the final destination...",,,,,,RIVENDELL,,5447,5449,
"""Nations of the World"" Montage", The shots of all of the free peoples of Middle-earth showing up for the Council of Elrond.,,,,,,RIVENDELL,,5459,5475,
Kubrick Stare," Foreshadowed when Isildur (in flashback) gave Elrond exactly the same stare, in exactly the same circumstances. One of the powers of the One Ring is to cause Kubrick Stares.",,,,,,RIVENDELL,,5549,5550,
"Little ""No"""," Isildur gave one to Elrond during the Siege of Barad-dur following his defeat of Sauron after Elrond demands that he destroy the Ring. In the present-day, Elrond tells Gandalf that it was this moment that caused him to lose his faith in Men.",,,,,,RIVENDELL,,5552,5553,
Age Cut," Averted when Elrond talks to Gandalf about an incident thousands of years in the past. We cut to a shot of Elrond in the past and he looks exactly the same, since elves are immortal .",,yes,,,,RIVENDELL,,5511,5561,
Take It to the Bridge, Arwen gives the Evenstar to Aragorn on an obviously symbolic bridge.,,,,,,RIVENDELL,,5761,5849,
Continuity Nod," In Elrond's council, there's the symbol of an eight-pointed star on the ground in front of his seat. In The Silmarillion , Elrond was reared by two FÃ«anorians, whose symbol was an eight-pointed star.",,,,,,COUNCIL OF ELROND,,5860,5861,
Black Speech," Gandalf uses it to dramatic effect in Imladris/Rivendell, complete with Empathic Environment . ",,,,,,COUNCIL OF ELROND,,5937,5956,
Empathic Environment," Gandalf uses Black Speech to dramatic effect in Imladris/Rivendell, such that it causes elves such as Elrond and Legolas physical pain, as both wince at its usage.",,,,,,COUNCIL OF ELROND,,5937,5949,
Supernatural Language," When Gandalf reads the inscription on the One Ring in Black Speech , his voice becomes inhumanely deep, resonant and guttural, and the light seems to recede as he speaks. Frodo and the elven nobility recoil in pain as they hear it.",,,,,,COUNCIL OF ELROND,,5937,5956,
Kill the Lights,"Happens during the Council of Elrond when Gandalf breaks up the squabble by reciting the ring couplet in Black Speech , though as this scene is outside, the darkening is less noticeable.",,,,,,COUNCIL OF ELROND,,5942,5956,
Leitmotif,musical example with the Gondor Leitmotif in the case of the Extended Edition. The theme makes a brief early appearance during the Council of Elrond sequence (when Bormoir speaks of how Gondor and Denethor's sacrifices have kept the West safe).,,,,,,COUNCIL OF ELROND,,5992,6042,
Early-Bird Cameo,Musical example with the Gondor Leitmotif in the case of the Extended Edition. The theme makes a brief early appearance during the Council of Elrond sequence (when Bormoir speaks of how Gondor and Denethor's sacrifices have kept the West safe). ,,,,,,COUNCIL OF ELROND,,5992,6042,
Simple Solution Won't Work," When Elrond and Frodo reveal the One Ring to the attendees of the Council of Rivendell, Boromir suggests using the Ring against Sauron. Aragorn immediately shoots that down: ""The One Ring answers to Sauron alone. It has no other master."" Elrond subsequently says that the Ring must be destroyed. Gimli promptly takes a swing at it with his battleaxe --- and is Blown Across the Room and his axe's blade shattered . Elrond: [bemused] The Ring cannot be destroyed, Gimli, son of Gloin, by any craft that we here possess.",,,,,,COUNCIL OF ELROND,,5986,6095,
Weapon Chooses the Wielder," Explicitly stated during the Council of Elrond referring to the One Ring. Boromir: Give Gondor the weapon of the enemy. Let us use it against him! Aragorn: You cannot wield it, none of us can. The One Ring answers to Sauron alone. It has no other master.",,,,,,COUNCIL OF ELROND,,6002,6011,
Establishing Character Moment,Boromir instantly suggesting the Ring be turned over to Gondor to use against Sauron.,,,,,,COUNCIL OF ELROND,,5997,5998,
Establishing Character Moment, Legolas defending Aragorn against Boromir. ,,,,,,COUNCIL OF ELROND,,6015,6023,
Establishing Character Moment,Gimli grabbing an axe and attempting to destroy the Ring right at the council. ,,,,,,COUNCIL OF ELROND,,6075,6080,
Surprisingly Super-Tough Thing," Gimli, during the Council of Elrond, blithely declares, after Elrond states that the One Ring must be destroyed, ""What are we waiting for!"" and proceeds to try to cut it in half with one of his axes, which promptly shatters, leaving the Ring completely unscathed. Elrond then chastises him for his ignorance.",,,,,,COUNCIL OF ELROND,,6080,6081,
Blown Across the Room,"Gimli promptly takes a swing at the ring with his battleaxe --- and is Blown Across the Room and his axe's blade shattered . Elrond: [bemused] The Ring cannot be destroyed, Gimli, son of Gloin, by any craft that we here possess.",,,,,,COUNCIL OF ELROND,,6081,6082,
Mordor," The fearsome trope namer is described by Boromir with the following words: ""One does not simply walk into Mordor. Its black gates are guarded by more than just orcs. There is evil there that does not sleep, and the Great Eye is ever watchful. It is a barren wasteland, riddled with fire, ash, and dust. The very air you breathe is a poisonous fume. Not with ten thousand men could you do this. It is folly.""",,,,,,COUNCIL OF ELROND,,6125,6128,
We ARE Struggling Together," During the Council at Rivendell, no one can agree on anything. Elrond wants to destroy the Ring, Boromir wants to use the Ring to help Gondor, Gimli doesn't trust the elves and it isn't long before everyone starts arguing with each other and even Gandalf is yelling. And it's because the Ring is deliberately sowing distrust and chaos. But as soon as Frodo, despite being terrified and overwhelmed, declares he will take the Ring to Mordor, the one thing that all these seasoned warriors unanimously agree upon is that this little brave hobbit must be protected.",,,,,From 'give Gondor the ring' to Frodo volunteering,COUNCIL OF ELROND,,5986,6214,
Shouting Free-for-All," During the Council of Elrond, after the impossibility of the task before them is laid out, the council jumps to to their feet all yelling and shouting at each other, with the exception of Frodo, who sits to the side staring at the One Ring until he gets up and offers to take it to Mordor himself.",,,,,"AF: slightly disagree--set to ""one does not simply walk into Mordor""",COUNCIL OF ELROND,,6173,6214,
Not-So-Omniscient Council of Bickering," The Council of Elrond dissolves into a lot of vicious arguing, causing Frodo to make his heroic choice.",,,,,,COUNCIL OF ELROND,,6173,6210,
Role-Playing Game 'Verse," An Unbuilt Trope . The book series itself predates role-playing games like D&D and in fact codified many High Fantasy tropes. However, after the Fellowship is formed and before it is disbanded, the plot and characters would fit right into an RPG verse: a party that includes a wizard, an elf, a dwarf, a knight, and a ranger set out on a dangerous journey to destroy an Artifact of Doom , facing many typical genre perils like monsters, bands of orcs, and evil sorcerers trying to thwart their progress.",,,,,you shall be the fellowship' after pledging their quintessential class weapon,COUNCIL OF ELROND,,6242,6329,
Buffy Speak," Pippin during the creation of the Fellowship: ""You need people of intelligence in this kind of mission... quest... thing.""",,,,,,COUNCIL OF ELROND,,6307,6314,
Title Drop," ""You shall be the Fellowship of the Ring ."" The names of chapters from The Hobbit and The Lord of the Rings are brought up on occasion. ",,,,,,COUNCIL OF ELROND,,6326,6329,
The Team," The Fellowship of the Ring, which was formed for the purpose of destroying the One Ring by going into the deepest parts of Mordor and casting it into the volcanic fires of Mount Doom, where it was originally forged.",,,,,,COUNCIL OF ELROND,,6326,6329,
Rule of Symbolism,Christian symbolism: They used a statue of Mary as a stand-in at the tomb of Aragorn's mother. ,,,,,,RIVENDELL,,6364,6400,
Scare Chord,When Bilbo sees the Ring around Frodo's neck in Rivendell.,,,,,,RIVENDELL,,6468,6469,
Nightmare Face, When Bilbo wants to take a look at the One Ring. Holy crap !,,,,,,RIVENDELL,,6468,6469,
Scary Symbolic Shapeshifting," Bilbo Baggins is normally a genial old hobbit, and even his many decades of subtle corruption by the One Ring seems to be little more than a blip on the radar by the time he turns up at Rivendell. However, while the Fellowship is preparing to leave Rivendell, he happens to catch sight of the Ring on Frodo --- and suddenly lunges wildly at him, sporting sharp teeth and enormous, frenzied-looking eyes. Bilbo demonstrates no shapeshifting at any other point in the story, so this is just an indication that the Ring still has its hooks in him and could one day drag him down to the same level as Gollum .",,,,,,RIVENDELL,,6468,6469,
Animal Espionage," Saruman has crows that serve as spies, and one scene has The Fellowship take cover when a flock of crows fly overhead.",,,,,,PATH TO MORIA,,6726,6765,
Creepy Crows," Like in the book, ravens and crows are generally an ill omen. The ""crebain from Dunland"" that Legolas sees near the Misty Mountains are servants of Saruman, reporting on the position of the Fellowship for him. ",,,,,,PATH TO MORIA,,6726,6765,
Noisy Nature," Judging by their extremely cacophonic cries, Saruman's scary flock of avian spies are evidently Starlings.",,,,,,PATH TO MORIA,,6745,6761,
Ridiculously Difficult Route," Whether passing over (Caradhras) or under (Moria), the Misty Mountains is this trope for the Fellowship.",,,,,Start of Caradhras to exit of Moria,PATH TO MORIA,,6775,8885,
Dungeon Bypass,"The Fellowship tries to go around Moria via a mountain pass, but Saruman awakens the mountain of Caradhras, causing an avalanche of rocks and snow that blocks their way, causing our heroes to have to backtrack and go through Moria anyway.",,yes,,,,PATH TO MORIA,,6775,7303,
Slippery MacGuffin," The One Ring somehow slips away from Frodo while hiking on Caradhras. This is physically impossible because the Ring was not in his pocket, but carried on a chain around his neck, and the chain is intact when Boromir picks up the Ring --- but the Ring, being magic, does it anyway . It calls to the Nazgul every time one is near.",,,,,,PATH TO MORIA,,6786,6795,
Forced Perspective,"Used in reverse in one shot: While climbing Caradhras, Frodo falls and drops the Ring. There is a shot of the Ring lying in the snow in the foreground. The filmmakers used a larger model of the Ring, 6 inches in diameter, in this shot to make it seem closer while still being in-focus.",yes,,,,,PATH TO MORIA,,6795,6795,
Depth of Field," A faked long depth-of-field is accomplished by putting a prop ring the size of a plate in the foreground. That way, the One Ring lying in the snow appears in as much sharpness as the stuff in the background.",,,,,,PATH TO MORIA,,6795,6795,
Foreshadowing," As Gandalf tries to lead the Fellowship through the Pass of Caradhras, Boromir picks up the One Ring after Frodo stumbles down hill and ""drops"" it. Boromir returns it after some hesitation and obsessing over it. Later, Boromir tries to take the Ring forcefully, having gotten a taste of its influence before. ",,,,,,PATH TO MORIA,,6796,6840,
Affectionate Gesture to the Head," Boromir pats Frodo during their attempted trek over Caradhras. After picking up the Ring, he gives it back to Frodo only after an order from Aragorn. He ruffles Frodo's hair to lighten the mood, but the Fellowship stays wary.",,,,,,PATH TO MORIA,,6847,6848,
Animal Espionage,Saruman's crow spies report in back at Isengard.,,,,,repeated trope when they report back in to Saruman,PATH TO MORIA,,6859,6877,
Creepy Crows," Like in the book, ravens and crows are generally an ill omen. The crows are servants of Saruman, reporting on the position of the Fellowship for him. ",,,,,repeated trope when they report back in to Saruman,PATH TO MORIA,,6859,6877,
Noisy Nature," Judging by their extremely cacophonic cries, Saruman's scary flock of avian spies are evidently Starlings.",,,,,repeated trope when they report back in to Saruman,PATH TO MORIA,,6859,6877,
The Precarious Ledge," The Fellowships must traverse a narrow ledge at The Pass of Caradhras through the snow, even as Saruman tries to bring them down with his foul chanting.",,,,,,PATH TO MORIA,,6889,7061,
Hostile Weather," The snowstorm on Caradhras. The movie clearly shows that Saruman is behind it too, while in the book it's left vague.",,,,,,PATH TO MORIA,,6889,7061,
Power Echoes,"Heard when Saruman is chanting the spell to ""bring down the mountain"" on the Fellowship in the Pass of Caradhras.",,,,,,PATH TO MORIA,,6905,6957,
Dug Too Deep," According to Saruman, the Dwarves of Moria did this, unleashing the Balrog .",,,,,,PATH TO MORIA,,7021,7035,
Open Sesame," When the Fellowship tries to enter Moria through the enchanted gate that's inscribed ""Speak friend and enter"". Which actually TELLS you what to say.",,,,,,MORIA,,7175,7178,
Speak Friend and Enter," The Trope Namer, like the book. Gandalf spends hours casting opening spells and trying passwords on the door into Moria. He finally realizes that he mistranslated the inscription on the door: instead of ""Speak, friend, and enter"", it was ""Say 'friend' and enter"". All he had to do was say the elven word for ""friend"" and the door opened. Gandalf read the inscription aloud before, but in the common tongue, not in Elvish. He notes that the doors were made when trade between Moria and neighbouring Eregion was plentiful, and the dwarves of Moria would have little reason to close the gates, especially not to elves. The late third age, however, is far more dangerous, and people are more suspicious. Frodo: It's a riddle. ""Speak friend and enter."" What's the Elvish word for friend? Gandalf: Mellon . [door opens]",,,,,,MORIA,,7175,7303,
Stealth Pun,"Gimli's cousin, Balin, calls Moria, a dwarven mine and his (Balin's) own kingdom, a mine. A mine , get it?",,,,,,MORIA,,7338,7341,
This Way to Certain Death," The movie makes it clear to the audience (and most of the characters) that something very bad has happened in Moria with skeletons sprawled on the floor everywhere not far from the entrance. Gimli, however, remains steadfast in his denial until confronted with an actual written account of the bloodbath.",,,,,"From Gandalf lighting up skeletons to the reaction to Boromir's ""it's a tomb""",MORIA,,7337,7362,
Attack! Attack... Retreat! Retreat!," A rare case of this trope Played for Drama , and definitely not a Tactical Withdrawal , happens after discovering the long-dead dwarves inside the West Gate of the mines of Moria. Boromir: We should never have come here. Now get out of here; get out! [cue attack by Watcher in the Water] Gandalf: Into the mines!",yes,,,,,MORIA,,7367,7422,
Giant Squid," The Watcher in the Water is decidedly squid-like, with bits of octopus thrown in for good measure. In the books the description is a bit more vague but still retains most of the Giant Squid properties.",,,,,,MORIA,,7376,7437,
Combat Tentacles," The Watcher in the Water, which wasn't clearly described in the book , is shown as a giant squid-like monster when it attacks the Company.",,,,,,MORIA,,7376,7437,
Locked Out of the Loop,"Downplayed with Gimli and Frodo's Mithril Coat (and one that was there in the original release, but which has since been retroactively confirmed by The Hobbit Film Trilogy ). Despite being the son of one of the members of the late Thorin Oakenshield's Company, Gimli doesn't know that Bilbo was gifted the Mithril Coat for his services during the Quest of Erebor; he only finds out when Gandalf mentions it during their trek through Moria. Either Gloin didn't know (which, given Bilbo was wearing it around Erebor, seems unlikely), or Gloin simply didn't tell his son. Either way, the revelation's quite a surprise for Gimli. ",,,,,,MORIA,,7560,7564,
Pragmatic Villainy," Implied with Gollum when he's following the Fellowship in Moria, then makes it out of the Mines and stays on their tail down the Anduin in the Extended Edition. Despite having Frodo in his sight, Gollum makes no move to reclaim his Precious in this film. The subtext is that even Gollum knows that trying to take the Ring from Frodo while he's surrounded and protected by armed bodyguards is a bad idea. Gollum won't make his play for the Ring until The Two Two Towers after Frodo is separated from the Fellowship at Amon Hen.",,,,,Fuzzy ending: Long duration throughout.,MORIA,,7626,10486,
Armor-Piercing Question," When Frodo is angrily musing that it's a pity Bilbo didn't kill Gollum when he had the chance, Gandalf points out that it was pity that stayed Bilbo's hand: ""Many that live deserve death. And some that die deserve life. Can you give it to them, Frodo?""",,,,,,MORIA,,7694,7696,
Scene of Wonder," The journey through Moria is mostly dark and depressing, but when they reach Dwarrowdelf, Gandalf considers it worth risking more light to let the Fellowship see the city-sized cave and supporting pillars.",,,,,,MORIA,,7801,7837,
Unnecessarily Large Interior," The dwarven city of Khazad-dum seems to consist of huge empty spaces with free-standing stairs on the edges and straight across. The book has mostly corridors and normal-sized rooms, with a few great halls. The giant halls also prove to be a major issue when the dwarves unleash an Eldritch Abomination : the Balrog. The great halls allow it to move about with relative ease, seeing as how it's twenty times bigger than the whole Fellowship put together.",,,,,,MORIA,Sets up Eldrith Abomination ease of access.,7807,7837,
Art Imitates Art, The designs for the Mines of Moria sets were inspired by the works of Venetian artist Giovanni Battista Piranesi and M.C. Escher .,,,,x,,MORIA,,7807,7837,
Natural Spotlight," A few scenes, like Balin's tomb which was described like this even in the original novel, explained by ingenious light channels carved by the dwarves in the mountainside. ",,,,,,BALIN TOMB,,7846,7869,
Adaptational Angst Upgrade,Gimli has a far more stoic reaction to Balin's fate in the book.,,,,x,,BALIN TOMB,,7854,7887,
"Big ""NO!""","Gimli  discovers the tomb of Balin, which dissolves into mournful blubbering. ",,,,,,BALIN TOMB,,7854,7887,
That Was the Last Entry," The dwarven log in the Mines of Moria. ""They have taken the bridge and the second hall. We have barred the gates but cannot hold them for long. The ground shakes, drums... drums in the deep. We cannot get out. A shadow lurks in the dark. We cannot get out... they are coming ."" It's written neatly in dwarven runes except for the last three words, scribbled hastily in Elvish cursive.",,,,,,BALIN TOMB,,7906,7945,
"Don't Touch It, You Idiot!"," While the gang is deep in the mines of Moria, Pippin the Hobbit innocently fiddles with an ancient suit of armour... Gandalf reacts appropriately.",,,,,,BALIN TOMB,,7948,7992,
"Nice Job Breaking It, Hero!","Pippin's curiosity leading him to mess with a skeleton by a well in Moria, leading to the whole thing, chains and bucket and all, toppling in. Not only does this lead to them being attacked by a horde of goblins, it awakens the Balrog, and ultimately results in Gandalf's death.",,,,,Fuzzy: set to more proximal cause and effect of messing with the skeleton causing goblins to notice their presence,BALIN TOMB,,7948,8001,
"Oh, Crap!"," In Moria: Gandalf's reaction to hear Goblin drums beating, as the denizens of Moria have realised there are intruders in their home.  ",,,,,,BALIN TOMB,,8001,8005,
Foreshadowing,"Boromir narrowly avoids being hit by arrows in Moria. On a related note, Isildur is killed by three arrows - the same amount as Boromir. ",,,,Unsure if we should count the Isildur instance as a separate Foreshadow.,,BALIN TOMB,,8031,8032,
This Is Gonna Suck," ""They have a cave troll.""",,,,,,CAVE TROLL FIGHT,,8044,8045,
Weapon Twirling, Boromir twirls his sword while waiting for the goblin horde to break into Balin's Tomb in Moria.,,,,,,CAVE TROLL FIGHT,,8072,8073,
Off with His Head!,"Aragorn decapitates an Orc in Moria, with a big spurt of Black Blood right before the Cave Troll shows up. ",,,,,,CAVE TROLL FIGHT,,8112,8113,
Black Blood,"Aragorn decapitates an Orc in Moria, with a big spurt of Black Blood right before the Cave Troll shows up. ",,,,,,CAVE TROLL FIGHT,,8112,8113,
Throwing Your Sword Always Works, Aragorn throws his sword into an Orc during the battle in Balin's tomb. ,,,,,,CAVE TROLL FIGHT,,8151,8152,
Throwing Your Sword Always Works,Gimli throws his axe at the cave troll.,,,,,,CAVE TROLL FIGHT,,8157,8158,
Frying Pan of Doom, Sam uses his cooking gear to whack some goblins in Moria. Sam: I think I'm getting the hang of this.,,,,,,CAVE TROLL FIGHT,,8201,8204,
Tightrope Walking, Legolas goes running along a chain to attack the cave troll.,,,,,,CAVE TROLL FIGHT,,8192,8193,
