,Trope,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,\N,Associated_Movies,Number_movies
1478,AttackAttackAttack,21,0,11,0,4,5,4,0,20,0,2,0,0,1,3,1,0,2,0,1,7,0,3,6,5,3,0,"['A Fistful of Dollars', 'Air Force One', 'Airplane!', 'Angry Video Game Nerd: The Movie', 'Brexit', 'District 9', 'Fury', 'Green Room', 'Hamburger Hill', 'Heroes Shed No Tears', 'Indiana Jones and the Last Crusade', ""Kelly's Heroes"", 'Kingdom of Heaven', 'Lifeforce', 'Logan', 'Outlaw King', 'Patton', 'Ran', 'Ready Player One', 'Red Dawn', 'Ride with the Devil', 'RoboCop 2', 'Rocky IV', 'Rocky V', 'Seven Samurai', 'Star Trek: First Contact', 'The Girl with the Dragon Tattoo', 'The Great Bank Robbery', 'The Hobbit: The Battle of the Five Armies', 'The Magnificent Seven', 'The Siege of Jadotville', 'The Silence', 'The Thin Red Line', 'Turbo Kid', 'Undisputed 2: Last Man Standing', 'Van Helsing', 'Virtuosity', 'Warrior']",38
1479,AttackAttackRetreatRetreat,13,0,13,0,1,11,3,1,6,4,8,0,0,0,1,0,0,0,0,0,4,1,0,0,1,0,0,"['A New Hope', 'Chitty Chitty Bang Bang', 'Evan Almighty', 'Ghostbusters', 'Heavyweights', 'Home Alone', 'Honey, I Blew Up the Kid', 'Jurassic Park III', 'King Kong vs. Godzilla', 'Mad Max Beyond Thunderdome', 'Mixed Nuts', 'Monty Python and the Holy Grail', ""Pirates of the Caribbean: At World's End"", ""Pirates of the Caribbean: Dead Man's Chest"", 'Starship Troopers', 'The Delta Force', 'The Fugitive', 'The Long Kiss Goodnight', 'The Lost World: Jurassic Park', 'The Saragossa Manuscript', 'To Be or Not to Be', 'Wheels on Meals', 'Willow', 'Zombieland']",24
1480,AttackBackfire,7,0,5,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"['G.I. Joe: The Rise of Cobra', 'Hulk', 'Lara Croft: Tomb Raider', 'Maleficent', 'Red Dawn', 'The Dark Tower', 'The Fifth Element']",7
1481,AttackDrone,19,0,11,0,0,2,1,0,4,0,2,0,0,0,0,0,0,3,0,0,12,0,0,9,1,0,0,"['A Good Day to Die Hard', 'Babylon A.D.', 'Batman v Superman: Dawn of Justice', 'Battle Los Angeles', 'Behind Enemy Lines', 'Code of Silence', 'Cyberjack', 'Eagle Eye', 'Eye in the Sky', 'Galaxy Quest', 'Garuda Superhero', 'Guardians of the Galaxy Vol. 2', 'Oblivion', 'Sky Captain and the World of Tomorrow', 'Skyline', 'Spectral', 'Spectre', 'Star Trek: Insurrection', 'Star Trek Into Darkness', 'The A-Team', 'The Avengers', 'The Day the Earth Stood Still', 'Transmorphers']",23
1482,AttackDrones,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,['Oblivion'],1
1483,AttackHello,3,0,2,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,"['Apostle', 'The Soldier', 'Venom', 'Yor, the Hunter from the Future']",4
1484,AttackItsWeakPoint,44,0,33,2,0,7,5,0,13,1,9,0,0,2,8,0,0,2,0,0,23,1,1,6,2,0,0,"['Aquaman', 'Arachnia', 'Avatar', 'Avengers: Age of Ultron', 'Battle Los Angeles', 'Captain America: Civil War', ""Child's Play"", 'Contamination', 'Dance of the Dead', 'Dawn of the Planet of the Apes', 'Dragon Storm', 'Dune', 'Fantastic Four', 'Fury', 'Galaxy Quest', 'Godzilla', 'Godzilla vs. SpaceGodzilla', 'Hive Mind', 'Independence Day: Resurgence', 'Ip Man 2', 'Jason Bourne', 'Jurassic World', ""Kelly's Heroes"", 'Oblivion', 'Osmosis Jones', 'Pacific Rim', 'Pacific Rim: Uprising', 'Pearl Harbor', 'Rampage', 'Resident Evil: Retribution', 'RoboCop 3', 'Robot Jox', 'Rogue One: A Star Wars Story', 'Scott Pilgrim vs. the World', 'Sherlock Holmes', 'Shin Godzilla', 'Space Battleship Yamato', 'Star Trek Beyond', 'Star Trek: First Contact', 'Starship Troopers', 'Super Sentai World', 'The Dark Knight Rises', 'The Great Wall', ""The Hitman's Bodyguard"", 'The Hunted', 'The Last Airbender', 'The Last of the Mohicans', 'The Lord of the Rings', 'The Lord of the Rings: The Two Towers', 'This Island Earth', 'Tora! Tora! Tora!', 'Tremors', 'TRON: Legacy', 'Welcome to the Punch', 'Who Am I', 'Wonder Women']",56
1485,AttackItsWeakpoint,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"['Independence Day', 'Jason and the Argonauts', 'Pacific Rim: Uprising']",3
1486,AttackOfThe50FootWhatever,23,0,25,2,0,25,0,0,6,11,15,0,0,0,21,0,2,0,0,1,26,0,0,5,0,0,0,"['A Chinese Ghost Story', 'A Simple Wish', 'Aliens in the Attic', 'Attack of the Killer Tomatoes!', 'Bedazzled', 'Beginning of the End', 'Captain America: Civil War', 'City of Ember', 'Clash of the Titans', 'Cloverfield', 'Creature from the Black Lagoon', 'Eight Legged Freaks', 'Evil Alien Conquerors', 'G-Force', 'Ghostbusters', 'Ghostbusters II', 'Godzilla', 'Godzilla, King of the Monsters!', 'Godzilla', 'Goosebumps', 'Goosebumps 2: Haunted Halloween', ""Gulliver's Travels"", 'Head', 'It', 'Jack Frost', 'King Kong', 'Little Shop of Horrors', 'Making Contact', 'Maleficent', 'Night at the Museum', 'Night of the Lepus', 'Pacific Rim', 'Prince of Space', 'Rampage', 'Rock Monster', 'Shorts', 'Sinbad and the Eye of the Tiger', 'Tarantula', 'Teenagers from Outer Space', 'The Angry Red Planet', 'The Black Scorpion', 'The Cabin in the Woods', 'The Deadly Mantis', 'The Dinosaur Project', 'The Gate', 'The Giant Claw', 'The Giant Gila Monster', 'The Host', 'The Muppet Movie', 'The Nutty Professor', 'The Secret of the Magic Gourd', 'Them', 'This Is the End', 'Thor: Ragnarok', 'Time Bandits', 'Ultraman Saga', 'Ultraman Zero: The Revenge of Belial', 'Village of the Giants', 'X-Men: Apocalypse', 'Yongary, Monster from the Deep', 'Zebraman']",61
1487,AttackOfThe50ftWhatever,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"[""Dude, Where's My Car?""]",1
1488,AttackOfTheFiftyFootWhatever,17,0,18,0,0,12,0,0,7,3,7,0,0,0,9,0,1,2,0,2,10,0,0,1,0,0,0,"['Alligator', 'Anacondas: The Hunt for the Blood Orchid', 'Ant-Man', 'Ant-Man and the Wasp', 'Big Fat Liar', 'Boar', 'Captain Sindbad', 'Colossal', 'The Spider', 'Equinox', 'Ghostbusters', 'Ghostbusters', 'Godzilla', 'Godzilla: King of the Monsters', 'Hellboy', 'King Arthur: Legend of the Sword', 'Matinee', 'Misfit Heights', 'Pixels', 'Shin Godzilla', 'Space Amoeba', 'Talk to Her', 'The Amazing Colossal Man', 'The Cyclops', 'The Giant Spider', 'The Host', 'The Muppet Movie', 'The Nutty Professor', 'Thor: Ragnarok', 'Thor: The Dark World', 'TRON: Legacy', 'War of the Colossal Beast', 'Willow']",33
1489,AttackOfTheKillerWhatEver,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,"['Maximum Overdrive', 'Transmorphers']",2
1490,AttackOfTheKillerWhatever,8,0,3,0,0,17,0,0,2,0,7,0,0,0,43,0,0,7,0,0,20,1,0,7,0,0,1,"['Absentia', 'Attack of the Giant Leeches', 'Attack of the Killer Tomatoes!', 'Black Forest', 'Blood Lake: Attack of the Killer Lampreys', 'Boar', 'One Missed Call', 'Children of the Corn: Revelation', 'Chopping Mall', 'Damnation Alley', 'Day of the Animals', 'Death Bed: The Bed That Eats', 'Eight Legged Freaks', 'Ghost Storm', 'I Bought a Vampire Motorcycle', 'Jack Frost', 'Killdozer', 'Killer Klowns from Outer Space', 'Leprechaun', 'Mirrors', 'Oculus', 'Ogre', 'One Missed Call', 'Piranha', 'Puppet Master', 'Razorback', 'Reality', 'Road Kill', 'Slugs', 'Spiders', 'Squirm', 'Stay Alive', 'Tales of Halloween', 'Team America: World Police', 'The ABCs of Death', 'The Bay', 'The Birds', 'The Black Scorpion', 'The Brass Teapot', 'The Cabin in the Woods', 'The Car', 'The Cars That Ate Paris', 'The Gamers: Dorkness Rising', 'The Giant Claw', 'The Giant Gila Monster', 'The Stuff', 'The Tingler', 'The Uncanny', 'Virus', 'Wild Beasts', 'Xtro']",51
1491,AttackOfTheMonsterAppendage,3,0,3,0,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,"['A New Hope', 'Deep Rising', 'Grave Encounters', 'Grave Encounters 2', 'Island of Terror', ""Pirates of the Caribbean: Dead Man's Chest"", 'Pirates of the Caribbean: The Curse of the Black Pearl', 'Robot Holocaust']",8
1492,AttackOfThePoliticalAd,0,0,1,0,0,6,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"['Canadian Bacon', 'Head of State', 'No', 'Street Fight', 'The Campaign', 'The Candidate', ""The Hitchhiker's Guide to the Galaxy"", 'WNUF Halloween Special']",8
1493,AttackOfTheTownFestival,2,0,6,0,0,1,0,0,4,1,2,0,0,0,10,0,0,0,0,1,4,0,0,6,0,0,0,"['Batman', 'Cry Wilderness', 'The Crimson Cult', ""Dante's Peak"", 'Frankenstein Meets the Wolf Man', 'Jaws', 'Jaws 2', 'Jaws: The Revenge', 'Kingdom of the Spiders', 'Piranha', 'Piranha II: The Spawning', 'Sleeping with the Enemy', 'The Fog', 'The Giant Spider Invasion', 'The Swarm']",15
1494,AttackOnOneIsAnAttackOnAll,4,0,2,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"['Crimson Tide', 'The Three Musketeers', 'Thor', 'Watchmen']",4
1495,AttackPatternAlpha,3,0,3,0,0,4,1,0,3,1,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,0,"['Blazing Saddles', 'Dr. Strangelove', 'Grown Ups', 'Star Trek: Nemesis', 'Star Trek V: The Final Frontier', 'The Mighty Ducks', 'WarGames', 'Whip It', 'Wing Commander']",9
1496,AttackReflector,10,0,6,0,0,1,1,0,0,1,4,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,"['Captain America: The Winter Soldier', 'Firehead', 'Gamera vs. Guiron', 'Godzilla vs. Biollante', 'Godzilla vs. Mechagodzilla', 'Mega Shark vs. Giant Octopus', 'Pacific Rim: Uprising', 'TRON: Legacy', 'Vidocq', 'Wonder Woman']",10
1497,AttackTheMouth,2,0,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"['Deadpool', 'Momentum', 'Tales from the Darkside: The Movie']",3
1498,AttackingThroughYourself,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"['Avengers: Age of Ultron', 'Live Free or Die Hard', 'The Legend of Hercules']",3
1499,AttemptedRape,71,1,44,1,6,44,35,1,97,2,18,2,0,7,69,3,4,13,0,23,30,1,2,43,5,9,0,"['A Clockwork Orange', 'A Cure for Wellness', 'A History of Violence', 'Abraham Lincoln: Vampire Hunter', 'After the Dark', 'Alice in Wonderland', 'Amiche da morire', 'Amsterdamned', 'Austenland', 'Back to the Future', 'Bandolero!', 'Barefoot', 'Beyond the Valley of the Dolls', 'Birdman', 'Blackway', 'Blood on the Land', 'BloodRayne', 'Bloody Mallory', 'Bloody Moon', 'Braveheart', 'Brennus, Enemy of Rome', 'Bright Lights', 'Bring Me the Head of Alfredo Garcia', 'Cannibal Women in the Avocado Jungle of Death', 'Night Creatures', 'Carry on Matron', ""Child's Play"", 'Coffy', 'Cold War', 'Costa!', 'Crocodile 2: Death Swamp', 'Dark Angel: The Ascent', 'The Experiment', 'The Dark Valley', 'Day of the Animals', 'Dead Season', 'Death Bell', 'Death Machine', 'Death Note', 'Death Wish 4: The Crackdown', 'Delicatessen', 'Demon Hunter', 'Demonic Toys', 'Double Impact', 'Duel', 'Dumb and Dumber', 'Earthquake', 'Easy A', 'Eating Raoul', 'Face/Off', 'Faster, Pussycat! Kill! Kill!', 'Fist of the North Star', 'Freddy vs. Jason', 'Gang of Roses', 'Ginza Cosmetics', 'Girl with a Pearl Earring', 'Girls Town', 'GoldenEye', 'Gory Gory Hallelujah', 'Gosford Park', 'Hansel & Gretel: Witch Hunters', 'Hard Rain', 'Hard Target', 'Hardcore Henry', 'Hearts of the World', 'Heaven & Earth', 'Heroes Shed No Tears', 'Hobo with a Shotgun', 'X-Ray', 'House of Flying Daggers', 'Hud', 'I Am Not an Easy Man', 'I Saw the Devil', ""I'll Kill You... I'll Bury You... I'll Spit on Your Grave Too!"", 'Immortal Love', 'Island of Lost Souls', 'Konga', 'Queen Margot', 'Laserblast', 'Lawn Dogs', 'Lockout', 'Lost River', 'Lucky Bastard', 'Lucy', 'Malavita', 'Meatball Machine', 'Mickey', 'Missing in Action', 'Mister Frost', 'Moulin Rouge!', 'Night Nurse', 'Island of the Burning Damned', 'Night of the Templar', 'No Holds Barred', 'ffolkes', 'Nymphomaniac', 'Obsessed', ""One Night at McCool's"", 'Overlord', 'Beauty and the Beast', 'Parasite', 'Pat Garrett & Billy the Kid', 'Patrick', ""Pirates of the Caribbean: At World's End"", 'Pirates of the Caribbean: The Curse of the Black Pearl', 'Planet Terror', 'Play Dirty', 'Quantum of Solace', 'Quest for Fire', 'Razorback', 'Red Sparrow', 'Reefer Madness', 'Behind the Lines', 'Resident Evil: Extinction', 'Rhymes for Young Ghouls', 'Riddick', 'Robin Hood: Prince of Thieves', 'RoboCop', ""Satan's Little Helper"", 'Self Defense', 'Shy People', 'Silent Night, Deadly Night', 'Silent Night, Deadly Night Part 2', 'Sin Nombre', 'Slugs', 'Snow White: A Tale of Terror', 'Snow White and the Huntsman', 'Soldier Blue', 'Soldier Boyz', 'Solomon Kane', 'Species II', 'Stir of Echoes', 'Stitches', 'Stoker', 'Sucker Punch', 'Super', 'Supergirl', 'Sweet Sixteen', 'The Adventures of Robin Hood', 'The Alligator People', 'The Awakening', 'The Big Country', 'The Birth of a Nation', 'The Black Pirate', 'The Boy Next Door', 'The Broadway Melody', 'The Burrowers', 'The Call of the Cumberlands', 'The Cheat', 'The Church', 'The Creature Walks Among Us', 'The East', 'The Expendables', 'The Face of Another', 'The Family', 'The Galaxy Invader', 'The Gauntlet', 'The Great Silence', 'The Guy from Harlem', 'The Hidden Fortress', 'The Hills Have Eyes', 'The Hills Run Red', 'The Intruders', 'The Journey of Natty Gann', 'The Legend of Billie Jean', 'The Letter', 'The Long Kiss Goodnight', 'The Mark of Zorro', 'The Neon Demon', 'The Old Dark House', 'The Outlaw Josey Wales', 'The Players Club', 'The Princess and the Pirate', 'The Principal', 'The Prisoner of Zenda', 'The Purge: Anarchy', 'The Return of Swamp Thing', 'The Running Man', 'The Sure Thing', 'The Tailor of Panama', 'The Tooth Fairy', 'The Toxic Avenger', 'The Tracey Fragments', 'The Wedding March', 'The Wild Angels', 'Thelma & Louise', ""There's Something About Mary"", 'Thou Shalt Not Kill... Except', 'To Be or Not to Be', 'To Wong Foo Thanks for Everything, Julie Newmar', ""Tol'able David"", 'Tom Jones', 'Trance', 'Trick or Treat', 'Trouble with the Curve', 'True Confession', 'Two Mules for Sister Sara', 'Un Chien Andalou', 'Uncle Buck', 'Under the Skin', 'Underworld', 'Uninvited', 'V for Vendetta', 'Viridiana', 'Visitor Q', 'Vulgar', 'Watchmen', 'Weird Science', 'West Side Story', 'White Dog', 'Wolf', 'Woman in the Dunes', 'World War Z', 'Would You Rather', 'X-Men Origins: Wolverine', 'Zero Motivation']",216
1500,AttemptedSuicide,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,['Emperor'],1
1501,AttendingYourOwnFuneral,6,0,5,0,0,10,1,0,7,1,1,0,0,0,0,1,0,0,0,3,1,0,0,4,1,0,0,"['Alpha', 'Anchorman 2: The Legend Continues', 'Capricorn One', 'Captain America: The Winter Soldier', 'Convoy', 'Empire Records', 'Heaven Can Wait', 'MASH', 'Much Ado About Nothing', 'R.I.P.D.', 'The Bad Sleep Well', 'The Living Wake', 'The Pretty One', 'The Private Life of Don Juan', 'Thunderball', 'Waking Ned Devine', 'xXx: Return of Xander Cage']",17
1502,AttentionDeficitCreatorDisorder,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,['Paranoia'],1
1503,AttentionDeficitOohShiny,10,0,9,0,1,21,5,0,11,6,3,0,0,0,4,0,1,0,0,4,8,0,0,2,1,1,0,"['Absolutely Anything', 'Accepted', 'Alice in Wonderland', 'All the Boys Love Mandy Lane', 'Apocalypse Now', 'Charlie Bartlett', 'Clerks', 'Cloverfield', 'Elf', 'Flight of the Navigator', 'Hanna', 'Happy-Go-Lucky', 'Homeward Bound: The Incredible Journey', 'Horrible Bosses', 'In Bruges', 'Jurassic World: Fallen Kingdom', 'Justice League', 'Laser Mission', 'Monsieur Gangster', 'Pet Shop', 'Robin Hood: Prince of Thieves', 'Rock Slyde', 'Sally', 'Sherlock Holmes', 'SpaceCamp', 'The Beautician and the Beast', 'The Big Short', 'The Five-Year Engagement', 'The Good, the Bad and the Ugly', 'The Great McGinty', 'The Meg', 'The Other Guys', 'The Oyster Princess', 'The White Balloon', 'Thumbsucker', 'UHF', 'Varan the Unbelievable', 'Zelig']",38
1504,AttentionHarlot,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,['Joshua'],1
1505,AttentionWhore,6,0,2,0,6,24,15,1,26,3,2,0,0,3,9,1,2,7,0,8,0,0,1,7,0,0,0,"['A Haunted House', 'Along Came a Spider', 'Birdman', 'Bronson', 'Bruno', 'Chicago', 'Chopper', 'Contagion', 'Creep', 'Cyberbully', 'David Brent: Life on the Road', 'Death Proof', 'Denial', 'Easy A', ""Fermat's Room"", 'G.B.F.', 'Game Over, Man!', 'God Bless America', 'Going Overboard', 'Harriet the Spy: Blog Wars', 'He Died with a Felafel in His Hand', 'Home Alone', 'Intermission', 'Lords of Chaos', 'Love, Simon', 'Mean Girls', 'Mindhunters', 'Mr. Turner', 'Murder Party', 'Natural Born Killers', 'Nerve', 'Now and Then', 'Quiz Show', 'Repo Chick', 'Something Borrowed', 'Special Correspondents', 'Standing Ovation', 'Sweet Sixteen', 'The Artist', 'The Breakfast Club', ""The Devil's Hairpin"", 'The Dirties', 'The Haunting', 'The Haunting', 'The Neon Demon', 'The Princess Diaries', 'The Sixth Sense', 'The Watcher', 'Tragedy Girls', 'Troy', 'Wrong Turn 2: Dead End', 'Zodiac']",52
1506,AttractiveBentGender,0,0,3,0,0,24,3,0,12,5,1,0,0,2,2,4,2,0,0,8,1,2,0,1,1,0,0,"['Bad Education', 'Carry On', 'Carry on Matron', 'Dasepo Naughty Girls', 'Funeral Parade of Roses', ""I Don't Want to Be a Man"", 'Jack and Jill', 'Kinky Boots', 'La Grande Vadrouille', 'The Skin I Live In', 'Magic Mike', 'Mrs. Doubtfire', 'My Awkward Sexual Adventure', 'Paddington', 'Paddington 2', 'Phantasm', 'Sam', 'Some Like It Hot', 'Sorority Boys', 'Swordsman', 'The Adventures of Priscilla, Queen of the Desert', 'The Birdcage', 'The King and the Clown', 'The Little Rascals', 'The Three Stooges', 'To Wong Foo Thanks for Everything, Julie Newmar', 'Tomboy', 'Tootsie', 'Victor Victoria', 'White Chicks', 'Young Doctors in Love', 'Zonad']",32
1507,AttractiveBentSpecies,0,0,1,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"['Stay Tuned', 'The Incredible Mr. Limpet', 'The Nutty Professor']",3
1508,AttractiveZombie,1,0,0,0,0,6,0,0,1,0,1,0,0,0,8,1,0,1,0,2,1,0,0,0,0,0,0,"['Bride of Frankenstein', 'Burying the Ex', 'Cemetery Man', 'Frankenhooker', 'Life After Beth', 'Scouts Guide to the Zombie Apocalypse', 'Warm Bodies', 'White: The Melody of the Curse']",8
1509,AttractivenessDiscrimination,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0
1510,AttractivenessIsolation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0
1511,Auction,6,0,4,0,0,6,5,0,5,0,1,0,0,0,0,1,0,4,0,3,0,0,0,3,1,1,0,"['A Fine Mess', 'All Through the Night', 'Atomic Blonde', 'Hudson Hawk', 'Indochine', 'Mickey Blue Eyes', 'North by Northwest', 'Octopussy', 'Once Upon a Time in the West', 'Pirates of the Caribbean: Tales of the Code: Wedlocked', 'Placido', 'Sherlock Holmes and the Deadly Necklace', 'The First Wives Club', 'The Red Violin', 'The Thomas Crown Affair']",15
1512,AuctionOfEvil,12,0,9,0,0,5,5,0,3,0,1,0,0,1,2,1,0,1,0,2,3,0,0,6,0,0,0,"['Amistad', 'Anthony Adverse', 'Batman & Robin', 'Casino Royale', 'Cradle 2 the Grave', 'DOA: Dead or Alive', 'Diamonds Are Forever', 'Get Out', 'Hostel', 'Jurassic World: Fallen Kingdom', 'Mickey Blue Eyes', 'Mortdecai', 'Nate and Hayes', 'Never Say Never Again', 'Steel', ""The Adventure of Sherlock Holmes' Smarter Brother"", 'The Man with the Golden Gun', 'The Spy Who Loved Me', 'Tomorrow Never Dies', 'Wonder Woman']",20
1513,AudibleBlink,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['Time Piece'],1
1514,AudibleGleam,6,0,10,1,0,11,1,1,2,5,4,0,0,0,1,0,0,1,0,0,2,0,0,1,0,1,0,"['Captain America: The First Avenger', 'Class Act', 'Clue', 'Death Becomes Her', 'Forbidden Love: The Unashamed Stories of Lesbian Lives', 'Goldfinger', 'Home Alone', 'Hook', 'Little Nicky', 'Pacific Rim', 'Red Cliff', ""Rustlers' Rhapsody"", 'The Adventures of Baron Munchausen', 'The Adventures of Rocky & Bullwinkle', 'The Mummy', 'The Muppets', 'The Santa Clause', 'The Story of Robin Hood and His Merrie Men']",18
1515,AudibleSharpness,47,0,38,1,4,18,7,1,20,2,17,0,0,1,8,1,0,7,0,2,17,0,0,6,2,0,0,"['Aquaman', 'Big Trouble in Little China', 'Bitter Lake', 'Captain America: Civil War', 'Casino Royale', 'Conan the Barbarian', 'Crouching Tiger, Hidden Dragon', 'Cube', 'Cube²: Hypercube', 'Dead Snow', 'Excalibur', 'Fearless', 'Grosse Pointe Blank', 'Guardians of the Galaxy Vol. 2', 'Hook', 'House of Flying Daggers', 'I Still Know What You Did Last Summer', 'Insidious', 'John Carter', 'Kingsman: The Secret Service', 'Kiss the Girls', 'Knights of Badassdom', 'Kung Fu Hustle', 'Vampire Killers', 'Mad Max: Fury Road', 'Mimic', 'Mission: Impossible - Fallout', 'Mongol: The Rise of Genghis Khan', 'Mr. & Mrs. Smith', 'Mystery Men', 'Nightbreed', 'Ninja Terminator', 'Only God Forgives', 'Pacific Rim', ""Pan's Labyrinth"", 'Paul', 'Pirates of the Caribbean: The Curse of the Black Pearl', 'Predators', 'Pulp Fiction', 'Red Cliff', 'Resident Evil: Extinction', 'Roller Blade', 'Scream', 'Seraphim Falls', 'Teenage Mutant Ninja Turtles: Out of the Shadows', 'The Day After Tomorrow', 'The Expendables', 'The Great Wall', 'The Hateful Eight', ""The Hitchhiker's Guide to the Galaxy"", 'The Hobbit: An Unexpected Journey', 'The Judge', 'The Last Samurai', 'The Lord of the Rings', 'The Matrix Reloaded', 'The Ninja Mission', 'The Pianist', 'The Quick and the Dead', 'The Return of the Musketeers', 'The Robe', 'The Three Musketeers', 'The Whole Wide World', 'The Wolverine', 'Thor: Ragnarok', 'Thor: The Dark World', 'Tokyo Gore Police', 'Transformers: Dark of the Moon', 'V for Vendetta', 'Valhalla Rising', 'Van Helsing', 'Wonder Woman']",71
1516,AudienceAlienatingPremise,0,0,0,0,1,3,1,0,4,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,"['Amadeus', 'The Producers', 'The Town', 'Tootsie', 'Trash Humpers']",5
1517,AudienceColoringAdaptation,1,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Mowgli: Legend of the Jungle', 'Robin Hood']",2
1518,AudienceMonologue,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['Pump Up the Volume'],1
1519,AudienceMurmurs,1,0,1,0,0,4,1,0,3,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,1,0,"['Blazing Saddles', 'Easy Living', 'Johnny Belinda', 'Mississippi Burning', 'Slumdog Millionaire', 'The Day After Tomorrow', 'The Front Page', 'The Man with Two Brains']",8
1520,AudienceParticipation,2,0,7,0,0,12,5,2,4,3,1,0,0,0,6,3,8,0,0,1,2,1,0,1,0,0,0,"['All About Lily Chou-Chou', 'The Punch Bowl', 'Funny Games', 'Grease', ""Grumpy Cat's Worst Christmas Ever"", 'Hairspray', 'Help!', 'Jurassic Park III', 'Monsters Crash the Pajama Party', 'Popcorn', 'Repo! The Genetic Opera', 'Shock Treatment', 'Stop Making Sense', 'The Adventures of Elmo in Grouchland', 'The Blues Brothers', 'The Boondock Saints', ""The Devil's Carnival"", 'The Kids Are Alright', 'The Oogieloves in the Big Balloon Adventure', 'The Rocky Horror Picture Show', ""The Rocky Horror Picture Show: Let's Do the Time Warp Again"", 'The Room', ""What's Up, Tiger Lily?""]",23
1521,AudienceParticipationFailure,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"[""A Knight's Tale"", 'Ghostbusters II']",2
1522,AudienceParticipationSong,1,0,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"['Bohemian Rhapsody', 'Spider-Man: Homecoming', 'The Blues Brothers']",3
1523,AudienceShift,1,0,2,0,0,2,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,"['Emmanuelle', 'Jumanji: Welcome to the Jungle', ""Kermit's Swamp Years"", 'Scary Stories to Tell in the Dark', 'Scary Stories to Tell in the Dark', 'The Lovely Bones']",6
